Name (EIA ID),Status,County,Fuel,MW,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI
Agua Fria (gas turbine unit) (-141),Operating,Maricopa,Natural gas,223,45.2,0.10%,NA,31,1.8,13.3,NA,"153,008",60%,49%,221
Agua Fria (steam unit) (-141),Operating,Maricopa,Natural gas,390,63,3.90%,11.5,10.6,0.6,3.9,14.40%,"153,008",60%,49%,221
Apache (gas turbine unit) (-160),Operating,Cochise,Natural gas,160,48,3.50%,8.1,10.9,0.6,0.3,1.70%,159,26%,50%,135
Black Mountain Generating Station (56482),Operating,Mohave,Natural gas,121,12,6.20%,7.9,9.9,0.6,0.9,2.80%,"2,950",54%,30%,170
Coolidge Generating Station (56948),Operating,Pinal,Natural gas,726,9,2.60%,4.8,9.8,0.6,0.1,6.30%,"1,558",52%,50%,173
Copper Crossing Energy Center (58413),Proposed; postponed,Pinal,Natural gas,,NA,NA,NA,NA,NA,NA,NA,"6,344",39%,44%,126
DeMoss Petrie (-124),Operating,Pima,Natural gas,85,19,1.00%,4.7,13.8,0.8,0.5,0.80%,"110,698",56%,61%,179
Douglas (114),Operating,Cochise,Oil,26,48,0.10%,NA,31.3,2.5,28,NA,"13,424",90%,68%,156
H. Wilson Sundt Generating Station (gas turbine unit) (-126),Operating,Pima,Natural gas,54,48,2.40%,NA,12.3,0.7,5.3,NA,"59,658",80%,61%,215
Kyrene (gas turbine unit) (-147),Operating,Maricopa,Natural gas,174,49,0.00%,NA,NA,NA,NA,NA,"124,268",42%,27%,183
North Loop (-6088),Operating,Pima,Natural gas,108,48,0.40%,NA,12.2,0.7,3.9,NA,"15,403",36%,19%,84
Ocotillo (gas turbine unit) (-116),Operating; repowering,Maricopa,Natural gas,106,48,1.70%,NA,21.7,1.3,4.5,NA,"133,271",44%,50%,213
Ocotillo (steam turbine unit) (-116),Operating; repowering,Maricopa,Natural gas,227,60,10.20%,14.9,12.2,0.7,1.5,10.60%,"133,271",44%,50%,213
Saguaro (118),Operating,Pinal,Natural gas,185,48,2.50%,5.9,12.1,0.7,0.5,1.30%,"1,701",33%,28%,119
Sun Valley South ,Proposed; postponed,Maricopa,Natural gas,320,NA,NA,NA,NA,NA,NA,NA,171,30%,35%,172
Sundance (-55522),Operating,Pinal,Natural gas,605,18,6.30%,6.8,11.4,0.7,0.2,0.90%,"1,122",51%,46%,162
Valencia (6515),Operating,Santa Cruz,Natural gas,108,31,0.20%,NA,15.7,0.9,4.8,NA,"21,014",95%,65%,162
West Phoenix (gas turbine unit) (117),Operating,Maricopa,Natural gas,106,48,1.70%,NA,22.2,1.3,0.3,NA,"103,381",90%,72%,263
Yucca (gas turbine unit) (-120),Operating,Yuma,Natural gas,338,49,4.90%,7.4,11.3,0.7,0.1,1.50%,"13,381",77%,53%,179
