Name (EIA ID),Status,County,Fuel,MW,Local_reliability_area,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CEW
Agua Mansa (-55951),Operating,San Bernardino,Natural gas,61,LA Basin,16,1.80%,8,9.8,0.58,0.17,59%,"67,236",82%,20%,98*
Alameda (7450),Operating,Alameda,Natural gas,50,Greater Bay Area,33,2.00%,NA,15.9,NA,NA,NA,"141,999",71%,22%,74
Alamitos (315),Operating; retirement proposed,Los Angelos,Natural gas,1970,LA Basin,63,5.50%,163,12.3,0.73,0.11,54%,"119,565",32%,10%,95*14
Almond Power Plant (7315),Operating,Stanislaus,Natural gas,223,NA,24,8.40%,18.9,9.8,0.59,0.1,%,"52,274",75%,26%,81*
Anaheim CT (7693),Operating,Orange,Natural gas,49,LA Basin,28,12.30%,7.7,9.5,0.57,0.2,35%,"169,119",63%,14%,75*
Barre Peaker (-56474),Operating,Orange,Natural gas,49,LA Basin,12,7.60%,4.3,9.8,0.58,0.1,35%,"278,142",73%,17%,87*
CalPeak Power-Border (-55513),Operating,San Diego,Natural gas,50,San Diego,18,2.80%,3.1,10.7,0.63,0.1,19%,"7,801",72%,4%,56
CalPeak Power-Enterprise (-55508),Operating,San Diego,Natural gas,50,San Diego,19,2.90%,3,10.6,0.62,0.2,19%,"109,861",57%,19%,37
CalPeak Power-Panoche (-55499),Operating,Frenso,Natural gas,50,NA,18,3.70%,3,10.9,0.64,0.1,41%,90,95%,25%,95*
CalPeak Power-Vaca Dixon (-55499),Operating,Solano,Natural gas,50,NA,17,2.60%,2.8,10.9,0.63,0.1,19%,"13,938",32%,4%,61
Canyon Power Plant (57027),Operating,Orange,Natural gas,200,LA Basin,8,9.20%,5.8,10.2,0.6,0.1,41%,"176,991",63%,14%,75*
Carlsbad (59002),Proposed; postponed,San Diego,Natural gas,632,NA,NA,NA,NA,NA,NA,NA,NA,"51,723",26%,9%,14
Center Peaker (-56475),Operating,Los Angelos,Natural gas,49,LA,12,4.70%,4.2,10.2,0.61,0.1,42%,"246,567",85%,12%,85*
Century (Alliance) (-55934),Operating,San Bernardino,Natural gas,40,LA,18,0.40%,NA,15.5,NA,NA,NA,"84,529",80%,24%,95*
Chowchilla II (Peaker) (56185),Operating,Madera,Natural gas,50,Greater Fresno,19,8.60%,NA,10.5,NA,NA,NA,"12,533",50%,30%,71
Chula Vista Energy Center (55540),Operating,San Diego,Natural gas,44,San Diego,13,0.80%,3.6,26,1.5,0.5,23%,"196,455",86%,18%,65
Clearwater (56356),Operating,Riverside,Natural gas,49,LA Basin,15,5.70%,NA,7.6,NA,NA,NA,"77,419",65%,16%,83*
Coachella (6060),Operating,Riverside,Natural gas,92,NA,47,0.20%,NA,16.6,NA,NA,NA,"47,780",96%,31%,81*
Creed Energy Center (55625),Operating,Solano,Natural gas,47,Greater Bay Area,17,3.00%,4.2,11.3,0.67,0.2,9%,152,58%,6%,74
Cuyamaca Peak (Energy Plant) (-55512),Operating,San Diego,Natural gas,47,San Diego,17,2.70%,4.3,10.9,0.64,0.1,12%,"158,011",39%,20%,87*
Delano Energy Center (55625),Operating,Solano,Natural gas,47,Greater Bay Area,17,1.80%,4.5,11.2,0.66,0.1,39%,"28,699",91%,20%,89*
Drews-Agua Mansa,Operating,San Bernardino,Natural gas,45,LA Basin,18,0.30%,NA,17.4,NA,NA,NA,"67,718",83%,20%,98*
El Cajon Energy Center (57001),Operating,San Diego,Natural gas,50,San Diego,9,3.20%,3.6,10.6,0.63,0.2,14%,"158,028",39%,20%,87*
Ellwood Generating Station (8076),Operating;,Santa Barbara,Natural gas,57,Creek/Ventura,45,1.30%,NA,14.3,NA,NA,NA,"36,273",45%,35%,12
Escondido Energy Center (55538),Operating,San Diego,Natural gas,50,San Diego,13,7.90%,4,10.3,0.61,0.08,14%,"133,202",58%,19%,37
Etiwanda Peaker (Grapeland) (-56472),Operating,San Bernardino,Natural gas,49,LA,12,5.50%,4,10,0.59,0.1,32%,"80,175",71%,9%,76*
Feather River Energy Center (-55847),Operating; retirement proposed RMR,Sutter,Natural gas,48,Sierra,17,7.00%,7.4,11.5,0.68,0.9,21%,"61,052",55%,21%,57
Gianera(7231),Operating,Santa Clara,Natural gas,64,Greater Bay Area,33,0.80%,NA,13.9,NA,NA,NA,"97,693",82%,9%,82*
Gilroy Energy Center (55810),Operating,Santa Clara,Natural gas,141,Greater Bay Area,18,2.00%,4.2,11.7,0.7,0.4,7%,"27,115",74%,17%,89*
Glenarm (422),Operating,Los Angelos,Natural gas,249,LA Basin,45,3.10%,8.7,10.5,0.62,0.7,37%,"232,462",72%,16%,18
Goose Haven Energy Center (-55627),Operating,Solano,Natural gas,48,Greater,17,3.00%,4.3,11.5,0.68,0.2,8%,159,59%,6%,74
Grayson (377),Operating,Los Angelos,Natural gas,287,NA,78,5.50%,251,12.9,0.9,0.4,34%,"204,896",41%,16%,99*
Hanford Energy Park Peaker (-55698),Operating,Kings,Natural gas,92,Greater Fresno,17,2.60%,3.7,10.5,0.65,0.9,52%,"7,600",79%,21%,64
Harbor Generating Station (399),Operating; retirement proposed,Los Angelos,Natural gas,548,NA,48,0.70%,7,9.9,0.58,0.3,49%,"130,575",84%,24%,97*
