Name (EIA ID),Status,County,Fuel,MW,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI
Auburndale,Proposed,Polk,Natural,130,NA,NA,NA,NA,NA,NA,NA,"35,584",48%,52%,216
Repower (676),,,gas,,,,,,,,,,,,
Avon Park (67),Unknown;,Highlands,Natural,67,52,0.60%,NA,17.7,1.1,6.4,NA,"15,885",56%,58%,183
,retiring?,,gas,,,,,,,,,,,,
Bayboro (627),Operating,Pinellas,Oil,,,,,,,,,,,,
,,,,227,47,0.20%,NA,14.5,1.2,12.4,NA,"72,410",51%,44%,180
,,,,,,,,,,,,,,,
Big Bend (gas,Operating,Hillsbor-,Natural,62,51,2.90%,5.1,9.6,0.6,0.8,1.10%,"21,114",38%,31%,134
turbine unit13,,ough,gas,,,,,,,,,,,,
-645,,,,,,,,,,,,,,,
Brandy Branch,Operating,Duval,Natural,185,19,6.50%,8.6,9.7,0.6,0.4,0.50%,"2,347",30%,44%,151
(gas turbine,,,gas,,,,,,,,,,,,
C.D. McIntosh,Operating,Polk,Natural,27,47,1.50%,NA,NA,NA,NA,NA,"35,584",48%,52%,216
Jr (gas turbine,,,gas,,,,,,,,,,,,
unit) 15,-676,,,,,,,,,,,,,,
Cane Island,Operating,Osceola,Natural,42,26,0.80%,4,11,0.7,0.9,2.10%,"9,490",31%,26%,130
(gas turbine,,,gas,,,,,,,,,,,,
unit) 16,-7238,,,,,,,,,,,,,,
DeBary (6046),Operating,Volusia,Natural,748,45,1.60%,6.9,13.5,0.8,1.1,0.60%,"24,645",24%,34%,141
,,,gas,,,,,,,,,,,,
Deerhaven,Operating,Alachua,Natural,145,44,0.60%,7.1,13.5,0.8,0.4,0%,"6,618",26%,26%,108
Generating,,,gas,,,,,,,,,,,,
Station (gas,,,,,,,,,,,,,,,
turbine unit) 17,,,,,,,,,,,,,,,
-663,,,,,,,,,,,,,,,
Field Street,Operating,Volusia,Oil,48,19,0%18,NA,NA,NA,NA,NA,"24,138",13%,35%,116
-7954,,,,,,,,,,,,,,,
Fort Myers 19,Operating,Lee,Natural,,,,,,,,,,,,
,,,,835,46,2.80%,7.7,10.7,0.7,1.6,0%,"18,204",39%,42%,163
-612,,,gas,,,,,,,,,,,,
GW Ivey (665),Operating,Miami-,Natural,36,66,0.60%,NA,21.2,1.3,59,NA,"104,970",85%,57%,209
,,Dade,gas,,,,,,,,,,,,
Greenland,Operating,Duval,Natural,,,,,,,,,,,,
,,,,381,9,9.30%,13,10.7,0.6,0.3,0.10%,"15,087",37%,21%,117
Energy Center,,,gas,,,,,,,,,,,,
-56799,,,,,,,,,,,,,,,
H.L. Culbreath,Operating,Hillsbor-,Natural,280,11,2.10%,5,9.7,0.8,9.7,0.90%,"16,709",46%,33%,198
Bayside Power,,ough,gas,,,,,,,,,,,,
Station20,,,,,,,,,,,,,,,
-7873,,,,,,,,,,,,,,,
Hardee Power,Operating,Hardee,Natural,182,27,1.40%,6.5,13.1,0.8,0.4,0.70%,281,14%,27%,85
Station (gas,,,gas,,,,,,,,,,,,
turbine unit) 21,,,,,,,,,,,,,,,
-50949,,,,,,,,,,,,,,,
Higgins (630),Unknown;,Pinellas,Natural,153,51,1.50%,NA,17.8,1,6.6,NA,"26,942",23%,24%,121
,retiring?,,gas,,,,,,,,,,,,
Indian River,Operating,Brevard,Natural,343,31,0.70%,5.1,14.7,0.9,1,0.80%,"20,661",20%,31%,108
Plant (683),,,gas,,,,,,,,,,,,
Intercession,Operating,Osceola,Natural,"1,197",46,3.80%,8.1,13.4,0.8,0.7,0.80%,"10,268",40%,35%,146
City (8049),,,gas,,,,,,,,,,,,
J.D Kennedy,Operating,Duval,Natural,,,,,,,,,,,,
,,,,370,47,2.00%,6.8,10.1,0.6,0.4,0.50%,"64,158",64%,53%,225
-666,,,gas,,,,,,,,,,,,
Lansing Smith,Operating,Bay,Oil,,,,,,,,,,,,
,,,,42,49,0.10%,NA,17.3,1.4,2.5,NA,"2,392",12%,26%,108
(gas turbine,,,,,,,,,,,,,,,
unit) 22,-643,,,,,,,,,,,,,,
Larsen,Operating,Polk,Natural,,,,,,,,,,,,
,,,,22,58,0.00%,NA,36.1,2.2,0.2,NA,"52,734",42%,54%,217
Memorial (gas,,,gas,,,,,,,,,,,,
turbine unit) 23,,,,,,,,,,,,,,,
-675,,,,,,,,,,,,,,,
Lauderdale,Operating,Broward,Natural,,,,,,,,,,,,
,,,,"1,148",50,3.10%,6,10.5,0.7,0.5,0.60%,"101,699",54%,41%,200
-613,,,gas,,,,,,,,,,,,
Manatee,Operating;,Manatee,Natural,,,,,,,,,,,,
,,,,"1,727",44,11.20%,23.4,11,0.7,0.7,1.00%,677,,,112
(steam turbine,retiring 2022,,gas,,,,,,,,,,28%,16%,
unit) 24,-6042,,,,,,,,,,,,,,
Marathon,Operating,Monroe,Oil,11,62,0.00%,NA,NA,NA,NA,NA,"5,846",45%,35%,96
Generating,,,,,,,,,,,,,,,
Plant (696),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Midulla,Operating,Hardee,Natural,310,14,6.90%,6.4,11.8,0.7,1,1.00%,280,14%,27%,85
Generating,,,gas,,,,,,,,,,,,
Station (gas,,,,,,,,,,,,,,,
turbine unit) 26,,,,,,,,,,,,,,,
-7380,,,,,,,,,,,,,,,
