Name (EIA ID),(EIA ID),Status,County,Fuel,MW,Load,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI
59th Street (2503),,Operating,New York,Natural,17,J,51,0.05%,3.2,15.7,1.7,16.9,0%,"1,207,344",45%,24%,176
,,,,gas,,,,,,,,,,,-57,-44,
74th Street (2504),,Operating,New York,Oil,,,,,,,,,,,46%,26%,
,,,,,37,J,52,0.07%,5.1,15.9,2.1,11.9,0%,"1,193,966",,,181
,,,,,,,,,,,,,,,-58,-48,
Arthur Kill GT 15,,Operating,Richmond,Natural,18,J,50,0.30%,5.6,15.7,1.4,5.03,6%,"106,582",43%,22%,177
-2490,,,,gas,,,,,,,,,,,-56,-40,
Arthur Kill ST 16,,Operating,Richmond,Natural,878,J,61,13.80%,271,10.5,0.6,0.7,5%,"106,582",43%,22%,177
-2490,,,,gas,,,,,,,,,,,-56,-40,
Astoria Gas,,Operating;,Queens,Natural,527,J,50,0.70%,2.8,14.8,0.9,7.3,8%,"998,335",73%,43%,223
Turbines* 17,-55243,proposed,,gas,,,,,,,,,,,-70,-73,
,,repower on,,,,,,,,,,,,,,,
,,hold?,,,,,,,,,,,,,,,
Astoria Generating,,Operating,Queens,Natural,15,J,53,0.70%,3.6,12.2,1,6.6,11%,"1,065,712",69%,41%,218
Station* GT 18,,,,gas,,,,,,,,,,,-69,-70,
-8906,,,,,,,,,,,,,,,,,
Astoria Generating,,Operating,Queens,Natural,943,J,66,10.90%,495,12.1,0.7,0.7,4%,"1,065,712",69%,41%,218
Station* ST 19,,,,gas,,,,,,,,,,,-69,-70,
-8906,,,,,,,,,,,,,,,,,
Bowline Point,,Operating,Rockland,Natural,1242,G,48,9.90%,109,10.2,0.6,1.2,2%,"47,063",53%,25%,155
-2625,,,,gas,,,,,,,,,,,-62,-45,
Brentwood*,-7912,Operating,Su↵olk,Natural,47,K,19,13.70%,7.1,9.6,0.6,0.1,4%,"93,391",60%,23%,169
,,,,gas,,,,,,,,,,,-65,-42,
Charles P Keller,,Operating,Nassau,Natural,34,K,78,0.10%,NA,67,4.5,188,NA,"209,836",46%,16%,168
-2695,,,,gas,,,,,,,,,,,-58,-29,
Danskammer (2480),,Operating,Orange,Natural,537,G,69,0.50%,16.5,12.1,0.7,1.4,2%,"19,461",29%,18%,133
,,,,gas,,,,,,,,,,,-45,-33,
East Hampton,,Operating,Su↵olk,Oil,,,,,,,,,,,30%,18%,
,,,,,21,K,50,4.80%,8.7,14.8,1.2,8,18%,"8,285",,,98
GT 20(2512),,,,,,,,,,,,,,,-47,-32,
East Hampton IC21,,Operating,Su↵olk,Oil,6,K,58,3.20%,NA,10.6,0.9,14.2,NA,"8,285",30%,18%,98
-2512,,,,,,,,,,,,,,,-47,-32,
Edgewood Energy*,,Operating,Su↵olk,Natural,100,K,18,11.30%,7.3,10.1,0.6,0.1,3%,"95,918",61%,24%,170
-55786,,,,gas,,,,,,,,,,,-65,-43,
E.F. Barrett* GT 22,,Operating,Nassau,Natural,293,K,50,4.80%,4.9,16.2,1,3.7,7%,"112,543",25%,16%,135
-2511,,,,gas,,,,,,,,,,,-42,-27,
Equus Freeport,,Operating,Nassau,Natural,120,K,16,8.10%,7,10,0.6,0.1,4%,"136,266",50%,18%,170
Power (56032),,,,gas,,,,,,,,,,,-60,-32,
Glenwood (2514),,Operating,Nassau,Oil,,,,,,,,,,,30%,16%,
,,,,,110,K,48,0.30%,3.6,13.6,1.1,7.2,6%,"77,361",,,146
,,,,,,,,,,,,,,,-46,-29,
Glenwood Landing,,Operating,Nassau,Natural,122,K,53,12.50%,7.9,10,0.6,0.1,5%,"79,693",30%,16%,141
-7869,,,,gas,,,,,,,,,,,-46,-27,
Gowanus Gas,,Operating;,Kings,Natural,640,J,49,0.20%,4.8,16.2,1.4,5.9,3%,"831,440",57%,40%,197
Turbines* (2494),,proposed,,gas,,,,,,,,,,,-63,-68,
,,repower,,,,,,,,,,,,,,,
Greenport (2681),,Operating,Su↵olk,Oil,10,K,63,0.03%,NA,10.9,0.9,38,NA,"6,961",21%,22%,112
,,,,,,,,,,,,,,,-38,-41,
