Name (EIA ID),Status,County,Fuel,MW,Age,Capacity_Factor,Run_hours/start,Heat_rate_MMBtu/MWh,CO2_tons/MWh,Nox_lbs/MWh,MWh_high_ozone_days,Pop.,percent_non-white,percent_low-income,CVI,,
5 Points,Unknown,Taylor,Oil,,,,,,,,,,43%,47%,,,
,,,,NA,NA,NA,NA,NA,NA,NA,NA,"23,848",,,170,,
Abilene Plant,,,,,,,,,,,,,-37,-66,,,
Antelope,Operating,Hale,Natural,,,,,,,,,,47%,39%,,,
,,,,167.4,9,10.20%,NA,9.2,0.5,0.4,NA,"3,120",,,183,,
Station (57865),,,gas,,,,,,,,,,-40,-55,,,
Bacli↵ (60264),Operating,Galveston,Natural,324,2,0.90%,5.2,13.5,0.8,2.3,9.40%,"16,799",43%,40%,163,,
,,,gas,,,,,,,,,,-37,-57,,,
Barney M Davis,Operating,Nueces,Natural,352,46,1.50%,16.1,12.8,0.8,2.1,0.00%,"9,302",32%,30%,103,,
(steam unit) 13,,,gas,,,,,,,,,,-25,-42,,,
-4939,,,,,,,,,,,,,,,,,
Bryan (3561),Operating,Brazos,Natural,22,45,0.20%,NA,17.4,1,5.1,NA,"70,033",60%,55%,162,,
,,,gas,,,,,,,,,,-52,-75,,,
Cedar Bayou,Operating,Chambers,Natural,"1,530",50,12.10%,242,9.8,0.6,0.7,2.30%,"42,816",59%,37%,174,,
-3460,,,gas,,,,,,,,,,-52,-53,,,
Chamon Power,Operating,Harris,Natural,100,3,2.70%,,4.8,14.7,0.9,0.7,"8,725",9.20%,55%,30%,180,
-60460,,,gas,,,,,,,,,,,-48,-43,,
Copper (9),Operating,El Paso,Natural,,,,,,,,,,,90%,53%,,
,,,,80.5,40,4.70%,,9.6,17,1,4.6,"101,342",4.80%,,,183,
,,,gas,,,,,,,,,,,-81,-73,,
Dansby (gas,Operating,Brazos,Natural,98.2,16,3.40%,,4.7,10,0.6,0.2,"2,167",2.80%,61%,47%,149,
turbine unit) 14,,,gas,,,,,,,,,,,-53,-66,,
-6243,,,,,,,,,,,,,,,,,
Dansby (steam,Operating,Brazos,Natural,105,42,12.50%,,"1,668",13.2,0.8,1.2,"2,167",1.70%,61%,47%,149,
unit) 15(6243),,,gas,,,,,,,,,,,-53,-66,,
Decker Creek,Operating,Travis,Natural,206,32,2.50%,,4.3,15.8,0.6,11,"25,522",3.20%,87%,57%,176,
(gas turbine,,,gas,,,,,,,,,,,-77,-77,,
unit) 16(3548),,,,,,,,,,,,,,,,,
Decker Creek,Operating,Travis,Natural,726,49,9.20%,,28.3,10.9,0.6,1.3,"25,522",2.90%,87%,57%,176,
(steam turbine,,,gas,,,,,,,,,,,-77,-77,,
unit) 17(3548),,,,,,,,,,,,,,,,,
DeCordova,Operating,Hood,Natural,357.6,30,0.40%,,2.6,14.2,0.8,8.6,"11,218",4.40%,13%(7),,114,
Steam Electric,,,gas,,,,,,,,,,,,-44,,
Station (8063),,,,,,,,,,,,,,,,,
Denton Energy,Operating,Denton,Natural,225,2,7.50%,18,NA,8.4,0.5,23.2,"8,452","8,452",42%,45%,174,
Center (61643),,,gas,,,,,,,,,,,-35,-63,,
DGS Palo Pinto,Unknown,Palo Pinto,Oil,NA,NA,NA,,NA,NA,NA,NA,"16,015","16,015",32%,52%,160,
,,,,,,,,,,,,,,-26,-71,,
Ector County,Operating,Ector,Natural,358.8,5,10.20%,,10.2,11.5,0.7,0.3,6.9,4,44%,24%,177,
Energy Center,,,gas,,,,,,,,,,,-38,-34,,
-58471,,,,,,,,,,,,,,,,,
Elk Station,Operating,Hale,Natural,606,5,5.20%,,NA,10.8,0.6,3.4,"3,120",,47%,39%,183,
-58835,,,gas,,,,,,,,,,,-40,-55,,
Exelon LaPorte,Operating,Harris,Natural,236,19,3.70%,5.8,13,0.8,2.5,3.50%,"29,020",34%,15%,146,,
Generation,,,gas,,,,,,,,,,-28,-19,,,
Station (55365),,,,,,,,,,,,,,,,,
Friendswood,Operating,Harris,Natural,117,2,2.40%,5.7,13.5,0.8,7.4,7.10%,"112,565",77%,40%,172,,
Energy (60468),,,gas,,,,,,,,,,-67,-57,,,
Graham (3490),Operating,Young,Natural,634.7,60,2.00%,9.6,11.2,0.7,2.8,6.10%,"4,724",32%,42%,100,,
,,,gas,,,,,,,,,,-25,-60,,,
Greens Bayou,Operating,Harris,Natural,432,44,0.80%,5.6,15.3,0.9,3.2,2.70%,"69,550",89%,51%,212,,
-3464,,,gas,,,,,,,,,,-80,-70,,,
Halyard,Proposed,Henderson,Natural,464,NA,NA,NA,NA,NA,NA,NA,356,15%,23%,62,,
Henderson,,,gas,,,,,,,,,,-9,-31,,,
Energy Center,,,,,,,,,,,,,,,,,
-60268,,,,,,,,,,,,,,,,,
Halyard,Proposed,Wharton,Natural,484,NA,NA,NA,NA,NA,NA,NA,163,19%,13%,131,,
Wharton Energy,,,gas,,,,,,,,,,-12,-17,,,
Center (60221),,,,,,,,,,,,,,,,,
Handley (3491),Operating,Tarrant,Natural,"1,315",72,5.00%,25.6,11.6,0.7,0.3,6.40%,"86,219",73%,51%,196,,
,,,gas,,,,,,,,,,-64,-70,,,
Hardin County,Operating,Hardin,Natural,173,10,3.80%,8.5,12.8,0.8,0.4,0.00%,"6,103",15%,17%,87,,
Peaking Facility,,,gas,,,,,,,,,,-8,-23,,,
-56604,,,,,,,,,,,,,,,,,
Jones (gas,Operating,Lubbock,Natural,,,,,,,,,,46%,28%,,,
,,,,365.4,9,14.70%,17.3,9.5,0.6,0.3,7.80%,"1,897",,,153,,
turbine unit),,,gas,,,,,,,,,,-40,-40,,,
-3482,,,,,,,,,,,,,,,,,
Knox Lee,Operating,Gregg,Natural,,,,,,,,,,29%,46%,,,
,,,,501,70,2.60%,43.3,12,0.7,1.4,0.50%,"3,313",,,185,,
-3476,,,gas,,,,,,,,,,-22,-65,,,
Lake Hubbard,Operating,Dallas,Natural,,,,,,,,,,59%,30%,,,
,,,,927.5,50,2.90%,11.5,11.3,0.7,0.5,6.30%,"26,680",,,138,,
-3452,,,gas,,,,,,,,,,-52,-43,,,
Laredo (3439),Operating,Webb,Natural,,,,,,,,,,96%,50%,,,
,,,,263.6,12,7.60%,7.1,9.7,0.6,0.1,0.00%,"84,250",,,145,,
,,,gas,,,,,,,,,,-89,-70,,,
Leon Creek,Operating,Bexar,Natural,,,,,,,,,,94%,61%,,,
,,,,229.6,16,6.40%,7.3,10.7,0.6,0.2,2.50%,"73,083",,,219,,
-3609,,,gas,,,,,,,,,,-86,-81,,,
Lone Star,Operating,Morris,Natural,40,66,1.60%,36.3,13.1,0.8,1.2,0.00%,"2,127",30%,40%,85,,
-3477,,,gas,,,,,,,,,,-23,-57,,,
,,,,,,,,,,,,,,,,,
Morgan Creek,Operating,Mitchell,Natural,536.4,32,0.10%,2.4,15.9,0.9,10.7,6.50%,435,23%,17%,50,,
-3492,,,gas,,,,,,,,,,-16,-22,,,
Mountain Creek,Operating,Dallas,Natural,852.2,75,5.10%,33.2,11.5,0.7,0.6,4.70%,"49,011",91%,58%,204,,
-3453,,,gas,,,,,,,,,,-82,-79,,,
Mustang,Operating,Yoakum,Natural,510,14,12.40%,23,11.5,0.7,0.3,5.60%,561,56%,17%,83,,
Station Unit 4,,,gas,,,,,,,,,,-49,-22,,,
-56326,,,,,,,,,,,,,,,,,
Newgulf,Operating,Wharton,Natural,,,,,,,,,,51%,33%,,,
,,,,101.9,36,1.40%,5.3,13.3,0.8,3.5,2.60%,919,,,159,,
-50137,,,gas,,,,,,,,,,-44,-47,,,
Newman (gas,Proposed,El Paso,Natural,226,NA,NA,NA,NA,NA,NA,NA,"3,152",75%,30%,137,,
turbine unit) 19,expansion,,gas,,,,,,,,,,-65,-43,,,
-3456,,,,,,,,,,,,,,,,,
O.W. Sommers,Operating,Bexar,Natural,892,48,8.00%,29.6,11.7,0.7,1.6,2.40%,"2,817",47%,56%,175,,
-3611,,,gas,,,,,,,,,,-41,-76,,,
